18:19:36 [INFO] Opening target process: csgo.exe
18:19:36 [INFO] Starting signature scanning: 57 items
18:19:36 [INFO] Found signature: dwClientState => 0x58CFDC
18:19:36 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
18:19:36 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
18:19:36 [INFO] Found signature: dwClientState_Map => 0x28C
18:19:36 [INFO] Found signature: dwClientState_MapDirectory => 0x188
18:19:36 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
18:19:36 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
18:19:36 [INFO] Found signature: dwClientState_State => 0x108
18:19:36 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
18:19:36 [INFO] Found signature: clientstate_delta_ticks => 0x174
18:19:36 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
18:19:36 [INFO] Found signature: clientstate_choked_commands => 0x4D30
18:19:36 [INFO] Found signature: clientstate_net_channel => 0x9C
18:19:36 [INFO] Found signature: dwEntityList => 0x4DDD91C
18:19:36 [INFO] Found signature: dwForceAttack => 0x320DE3C
18:19:36 [INFO] Found signature: dwForceAttack2 => 0x320DE48
18:19:36 [INFO] Found signature: dwForceBackward => 0x320DDE8
18:19:36 [INFO] Found signature: dwForceForward => 0x320DE6C
18:19:36 [INFO] Found signature: dwForceJump => 0x52878FC
18:19:36 [INFO] Found signature: dwForceLeft => 0x320DDF4
18:19:36 [INFO] Found signature: dwForceRight => 0x320DE00
18:19:36 [INFO] Found signature: dwGameDir => 0x62B900
18:19:36 [INFO] Found signature: dwGameRulesProxy => 0x52FB12C
18:19:36 [INFO] Found signature: dwGetAllClasses => 0xDEBCAC
18:19:36 [INFO] Found signature: dwGlobalVars => 0x58CCE0
18:19:36 [INFO] Found signature: dwGlowObjectManager => 0x5326620
18:19:36 [INFO] Found signature: dwInput => 0x522EEF0
18:19:36 [INFO] Found signature: dwInterfaceLinkList => 0x970754
18:19:36 [INFO] Found signature: dwLocalPlayer => 0xDC14CC
18:19:36 [INFO] Found signature: dwMouseEnable => 0xDC71D8
18:19:36 [INFO] Found signature: dwMouseEnablePtr => 0xDC71A8
18:19:36 [INFO] Found signature: dwPlayerResource => 0x320C180
18:19:36 [INFO] Found signature: dwRadarBase => 0x5212694
18:19:36 [INFO] Found signature: dwSensitivity => 0xDC7074
18:19:36 [INFO] Found signature: dwSensitivityPtr => 0xDC7048
18:19:36 [INFO] Found signature: dwSetClanTag => 0x8A410
18:19:36 [INFO] Found signature: dwViewMatrix => 0x4DCF234
18:19:36 [INFO] Found signature: dwWeaponTable => 0x522F9B4
18:19:36 [INFO] Found signature: dwWeaponTableIndex => 0x326C
18:19:36 [INFO] Found signature: dwYawPtr => 0xDC6E38
18:19:36 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDCD620
18:19:36 [INFO] Found signature: dwbSendPackets => 0xD8622
18:19:36 [INFO] Found signature: dwppDirect3DDevice9 => 0xA6050
18:19:36 [INFO] Found signature: m_pStudioHdr => 0x2950
18:19:36 [INFO] Found signature: m_yawClassPtr => 0xDC6E38
18:19:36 [INFO] Found signature: m_pitchClassPtr => 0x5212930
18:19:36 [INFO] Found signature: interface_engine_cvar => 0x3EA3C
18:19:36 [INFO] Found signature: convar_name_hash_table => 0x2F190
18:19:36 [INFO] Found signature: m_bDormant => 0xED
18:19:36 [INFO] Found signature: model_ambient_min => 0x590054
18:19:36 [INFO] Found signature: set_abs_angles => 0x1E5AB0
18:19:36 [INFO] Found signature: set_abs_origin => 0x1E58F0
18:19:36 [INFO] Found signature: is_c4_owner => 0x3CB620
18:19:36 [INFO] Found signature: force_update_spectator_glow => 0x3BE59A
18:19:36 [INFO] Found signature: anim_overlays => 0x2990
18:19:36 [INFO] Found signature: m_flSpawnTime => 0x103C0
18:19:36 [INFO] Found signature: find_hud_element => 0x26845CF0
18:19:36 [INFO] Finished signature scanning: 57/57 items successful
18:19:36 [INFO] Starting netvar scanning: 93 items
18:19:36 [INFO] Found netvar: m_ArmorValue => 0x117CC
18:19:36 [INFO] Found netvar: m_Collision => 0x320
18:19:36 [INFO] Found netvar: m_CollisionGroup => 0x474
18:19:36 [INFO] Found netvar: m_Local => 0x2FCC
18:19:36 [INFO] Found netvar: m_MoveType => 0x25B
18:19:36 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
18:19:36 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
18:19:36 [INFO] Found netvar: m_aimPunchAngle => 0x303C
18:19:36 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
18:19:36 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
18:19:36 [INFO] Found netvar: m_bHasDefuser => 0x117DC
18:19:36 [INFO] Found netvar: m_bHasHelmet => 0x117C0
18:19:36 [INFO] Found netvar: m_bInReload => 0x3248
18:19:36 [INFO] Found netvar: m_bIsDefusing => 0x997C
18:19:36 [INFO] Found netvar: m_bIsScoped => 0x9974
18:19:36 [INFO] Found netvar: m_bSpotted => 0x93D
18:19:36 [INFO] Found netvar: m_bSpottedByMask => 0x980
18:19:36 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
18:19:36 [INFO] Found netvar: m_fAccuracyPenalty => 0x3340
18:19:36 [INFO] Found netvar: m_fFlags => 0x104
18:19:36 [INFO] Found netvar: m_hViewModel => 0x3308
18:19:36 [INFO] Found netvar: m_flFallbackWear => 0x31E0
18:19:36 [INFO] Found netvar: m_flFlashDuration => 0x10470
18:19:36 [INFO] Found netvar: m_flFlashMaxAlpha => 0x1046C
18:19:36 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3248
18:19:36 [INFO] Found netvar: m_hActiveWeapon => 0x2F08
18:19:36 [INFO] Found netvar: m_hMyWeapons => 0x2F08
18:19:36 [INFO] Found netvar: m_hObserverTarget => 0x339C
18:19:36 [INFO] Found netvar: m_hOwner => 0x29DC
18:19:36 [INFO] Found netvar: m_hOwnerEntity => 0x14C
18:19:36 [INFO] Found netvar: m_iAccountID => 0x2FD8
18:19:36 [INFO] Found netvar: m_iClip1 => 0x3274
18:19:36 [INFO] Found netvar: m_zoomLevel => 0x33E0
18:19:36 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
18:19:36 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
18:19:36 [INFO] Found netvar: m_iCrosshairId => 0x117DC
18:19:36 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
18:19:36 [INFO] Found netvar: m_iFOVStart => 0x31F8
18:19:36 [INFO] Found netvar: m_iGlowIndex => 0x10470
18:19:36 [INFO] Found netvar: m_iHealth => 0x100
18:19:36 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
18:19:36 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
18:19:36 [INFO] Found netvar: m_iObserverMode => 0x3388
18:19:36 [INFO] Found netvar: m_iShotsFired => 0x103E0
18:19:36 [INFO] Found netvar: m_iState => 0x3268
18:19:36 [INFO] Found netvar: m_iTeamNum => 0xF4
18:19:36 [INFO] Found netvar: m_lifeState => 0x25F
18:19:36 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
18:19:36 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
18:19:36 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
18:19:36 [INFO] Found netvar: m_iDefaultFOV => 0x333C
18:19:36 [INFO] Found netvar: m_iFOV => 0x31F4
18:19:36 [INFO] Found netvar: m_nForceBone => 0x268C
18:19:36 [INFO] Found netvar: m_nTickBase => 0x3440
18:19:36 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
18:19:36 [INFO] Found netvar: m_szCustomName => 0x304C
18:19:36 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
18:19:36 [INFO] Found netvar: m_vecOrigin => 0x138
18:19:36 [INFO] Found netvar: m_vecVelocity => 0x114
18:19:36 [INFO] Found netvar: m_vecViewOffset => 0x108
18:19:36 [INFO] Found netvar: m_viewPunchAngle => 0x3030
18:19:36 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
18:19:36 [INFO] Found netvar: m_clrRender => 0x70
18:19:36 [INFO] Found netvar: m_bBombTicking => 0x2990
18:19:36 [INFO] Found netvar: m_bBombDefused => 0x29C0
18:19:36 [INFO] Found netvar: m_flC4Blow => 0x29A0
18:19:36 [INFO] Found netvar: m_hBombDefuser => 0x29C4
18:19:36 [INFO] Found netvar: m_flTimerLength => 0x29A4
18:19:36 [INFO] Found netvar: m_flDefuseLength => 0x29B8
18:19:36 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
18:19:36 [INFO] Found netvar: m_nBombSite => 0x2994
18:19:36 [INFO] Found netvar: cs_gamerules_data => 0x0
18:19:36 [INFO] Found netvar: m_SurvivalRules => 0xD00
18:19:36 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
18:19:36 [INFO] Found netvar: m_bIsValveDS => 0x7C
18:19:36 [INFO] Found netvar: m_bFreezePeriod => 0x20
